,0
0,"NNP NNP NNP JJ NN TO NNP NNP NNP . NNP NNP NNP NNP DT NNP NNP VBD IN NNP PRP VBD IN JJ NNP TO NNS TO NNP NNP NNP IN CD NNPS IN NNP VBN -NONE- MD VB VBN TO VB . NNP POS NN TO DT NNP NNP POS NNP NNP NNP NNP VBD IN NNP NNS MD VB NN IN NNS JJ IN NNP IN DT JJ NN VBD RB . NNP PRP VBP RB VB DT JJ NN IN PRP VBP RB VB DT NN IN PRP , NNP DT NN POS NN NN NNP NNP NNP NNP VBD DT NN NN . PRP VBD RB JJ NN VBD VBN CC IN PRP VBD VBN IN NN VBD VBN PRP MD VB VBN IN DT NNP NNP . PRP VBD DT NN JJ NN IN NNP NNP NNP NNP NNP TO VB NNP NNP , NNP CC NNP NNP IN DT NNP CC NNP NNP NNP VBD DT RB JJ CC NNP NN TO NNP NNP NNP . NNP VBD NNP NNS IN NNS IN NNP CC NNP WDT IN NNP NNS NNS MD VB NNP NNP NNP NNP NNP NNP : NNP NNP NNP . CC NNP VBD TO VBN PRP$ NN IN DT NNP POS NNP NNP NNP , NNP NNP NNP NNS , RB IN JJ NN VBD JJ IN EX VBD RB DT JJ NN TO JJ NN . NNP NNP NNP NNP NNP NNP VBD JJR VBN VBN IN DT NNP NN NNS POS NN IN VBG NNS NNP IN NNP NNP NNP . NNP . NNP NNP CC NNP NNP NNP POS NN . DT NNP POS JJ NNP CC NNP NNS VBP JJ TO VB DT NN JJ JJ NN CC VB NNS TO DT JJ NNP NNS . NNS VBP RB VBN JJ TO NN NN , DT NNP NN JJ TO NNP WDT VBZ VBN TO VB VBN VBN TO NNS IN NNP NNP NNP NNP . NNP NNS NNS IN NNP EX VBD DT NNP TO JJ NN IN PRP$ NNS , CC VBD NN IN JJ NN NN TO NNS TO NNP NNP NNP MD VB NNS IN NNP . NNP WP PRP VBP TO VB VBN -NONE- IN VBZ WRB JJ NNS VBP VBG TO VB NNP POS NN , NNP NNP NNP NNP POS NNP NNP NNP NNP NNP NNP NNP NNP VBD IN NNP NNP . NNP VBZ VBN NNS TO VB JJ NN IN NN NN VBD IN NNP IN DT JJ NN VBD -NONE- MD VB DT NN JJ TO NNP VBN NN IN NNP NNP NNP . NNP VBN NNP NNP IN NNP JJ NN , RB DT IN NN NNS . PRP VBD IN NNP NNP IN NNP NNP , DT CD NN IN JJ NNS ."
1,"NNP NNP NNP NNP NNP VBZ IN RB $ NNP . NNP VBZ DT JJ JJ NNP NNP IN DT NNP IN NNP NNP NNP NNP NNP VBD VBN IN RB $ NNP IN NNP IN DT NN IN DT IN DT JJ NNP POS NNP VBD . DT NNP NNP NNP NNP NNP NNP $ NNP NNP IN DT NNP IN NNP VBD RB DT JJ NN , WDT -NONE- VBZ IN DT NN IN NNP NNP NNP IN CD CD . IN DT NN IN DT NNP NN NN IN DT NNP NNP IN NNP PRP VBZ DT NN IN NN IN DT NN , WRB PRP VBD VBN IN DT NN . NNS RB VBD RP CD JJ NNS WDT VBD VBN RP IN NN IN NNP POS JJ NNP NNP NNP , WP -NONE- IN PRP IN CD TO CD . PRP VBD DT JJ NN CC NN IN NNP NNP NN VBD IN NNP TO VB PRP$ NNS , WDT DT NNP NNP NN VBN IN NNP NNP NNP $ NNP NNP . DT NNP CD IN DT NNS NN IN CD NNP CD ."
2,"NNP NNP VBZ NNP NNP NN IN NNS . NNP NNP NNP IN NNP NNP NNP IN NNP DT NN IN DT NN IN NNS IN DT NN VBN IN DT NN TO NN IN NNP NNP NN NNP VBZ DT NN IN NNP NNP . NNP RB NNS IN JJ NNP NNP VBD DT NN VBD RB TO VB IN JJ NNS IN NNP , NNP NNP NN NNP NNP NNP NNP : NNP DT JJ NN IN DT NN IN DT NNS VBZ VBN VBN IN DT NNP VBZ . NNP NNP NNP NNP NNP POS JJ NNP IN NNP , NNP NNP , IN VBG DT CD NN IN NNS IN NNP IN PRP VBD NN IN DT NNS TO VB JJ NNS . VBZ RB VBZ DT NN IN DT CD NNS TO VB IN JJ NNS : IN VBZ TO VB DT NN IN NN , NNP NNP POS JJ NN IN DT NNP POS NNP NN NNP IN VBG . DT NNP NNP POS NNP VBD NNP NN IN DT NN PRP VBD VBN NNS IN NNP POS NNS CC VBD DT NNS IN WRB DT NNP VBD VBN DT NN NN IN NNS IN NNP , WDT VBZ VBZ DT NN NN . NNP , WDT VBZ RB VBN DT NN NNS TO CD JJR NNP NN , VBD VBN IN DT NN TO VB DT NN IN NNP NN NN NNP ."
3,"NNP NNP VBZ NN NN IN NNP NNS . NNP NNP NNP VBZ VBD PRP VBD NN IN JJ NNS IN NNS CC IN DT NN NNP MD VB NNP NNP NNP IN NNP . NNP MD VB VBN TO VB DT NN CC NN IN DT NNS , DT NN NNP NN NN VBD NNP NNP , JJ NN NN IN DT NN IN NNS IN DT NNP NNP , IN VBG JJ IN NNP ."
4,"NNP NNP NNP NN NNP RP NNP NNP NNP NNP NNP . NNP NNP NNP NNP NNP IN NNP NNP VBD NNP NN IN NNP DT NN IN DT JJ NN , DT JJ NN IN NNP NNS VBD IN NNP . DT NN VBD NNP NNP NNS VBD VBN IN NNP NNP : JJ NN NNS CC VBZ NNS . DT NNS VBP DT JJ NN NN IN NN NNS CC DT CD NN NN IN NNS IN NNP NNP . NNP NNP VBD NNP CD IN DT NN . DT NN VBD RB JJ TO DT VBN NN IN NNS VBG JJ NNS RB , IN NNS VBD IN JJ NN VBD NN , DT JJ NN VBD . RB DT JJ NN NNS VBD NNS IN NN NNS IN DT NN . NNP NNP NNP NNP NNP , RB JJR IN DT NN IN DT NN . NNP NNP IN IN NNP NNS VBD IN JJ NN IN NNP NNP , NNP NN IN DT JJ NN . JJ VBD NNP IN NNP NNP , CC NNP NN . RB NN CC NNP VBD JJR NNP IN NNP NNP VBN TO JJ NN POS NNP . NNP NNP NNP NNP VBN IN NNP NNP IN NNP DT NN JJR . NNP POS NNP VBD TO NNP IN NNP ."
5,"NNP NNP NNP VBP JJ NN TO NNP IN NNS . NNP VBZ DT NNP NNP NN POS JJ NN VBD DT JJ NN TO NNP NNP NNP NNP TO VB NNP NNS , PRP$ NNP NNP NNP NNP VBD NNS . NNP NNP NNP NNP VBZ VBG TO VB DT NN NN IN DT NN NN NN IN NNP , VBD NNP . : NNP NNP , NNP NNP NNP NNP"
6,NNP NNP VBZ CD CD CD NNP NN . NNP NNP DT JJ NN VBD VBN IN CD NN NNP NNP . NNP NNP NNP NNP NNP CD NNP NN NNP NNP NNP NN VBZ NNP NN NNP NN NNP NNP JJ NNS NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NN NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP VBZ PRP NNP NNP NNP MD NNP NNP DT NNP VBZ DT NN NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP -NONE- NNP NN NNP NNP NNP NNP NNP NNP NNP VBZ JJ CD NN : NNP NNP NNP NNP NNP NNP
7,NNP NNP VBZ $ CD CD NNP CD NNP . NNP NNP DT JJ JJ NN VBD VBN IN NNP NN NNP NNPS NNP . NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP $ CD NNP VBD CD CD NNP NN NNP NNP VBZ -NONE- NNP NNP NN NN NNP JJ NNP NNP NNP NNP NNP JJ NNS CD NNP JJ NNP NNP NNP NNP NNPS NNP RB JJ NN NN NNP NNP NNP NNP NNP NNP NNP VBZ PRP NNP NNP NNP NNP NNP NNP NNP NNP RB NNP NNP DT NNP NNP NNP CD NNP NNP NNP NNP NNP NNP NN NNP NNP NNP NNP NNP CD NNP NNP NNP NNP NNP NNP NNP CD VBD IN NNP NNP : NNP NNP NNP NNP NNP NNP
8,"NNP NN NNS NNP DT NNP POS NNP NN . NN NNS IN NNP NNP NNP NNP NNP NNP , NNP CD CD CD NN IN NNP CC NNP NNP CD NNS ."
9,"NNP NNP VBZ IN NNS IN NNP IN NNP . NNP NNP NNP NNP NNP POS NNP NNP NNP IN NNP VBD IN NNP JJ NNP IN DT CD NNS VBD TO VB DT NN IN DT NNP . NNP NNP , WP IN NNP POS NNP TO NNP VBN VBN NNS IN NNP , VBD NNP NNP PRP VBD IN NNP VBD TO VB RB IN NN . VBP PRP VBZ TO VB DT NN NN VBZ RB TO VB . DT NNP VBP JJ , PRP VBP RB RB , CC DT NNP VBZ RB IN NNP VBZ IN DT VBZ RB DT NN IN DT NN , NNP PRP VBD . NNP VBZ VBG RP PRP$ NN IN NNP . PRP MD VB VBN IN NNP NNP , DT JJ NN VBD TO NNP CC NNP NNP NNP NNP . NNP IN NNP NNP NNP DT NN , IN NNP , VBG PRP VBD CD TO CD CC VBD TO JJ NNS IN NNP . CC PRP VBZ NNP IN JJ WP PRP VBD DT NNP NN . NNP VBN NNP IN NNP IN NNP DT JJ NN IN PRP IN NNP NNP VBN IN NNP VBD RB NN VBD DT NN . PRP VBD PRP$ JJ NNS VBD IN NNP NNP . VBP DT NN IN PRP VBD TO NNP NNP NNP NNP NNP NNP NNP VBZ IN NN VBZ JJ IN DT NN IN NNP TO VB NN NNS , NNP NNP NNP NNP NNP NNP VBD NNP NNP IN DT NN . -NONE- VBZ VBN IN NNP NNP NNP NNP NNP VBD NN IN NNP NNP TO VB DT NNP NNP NNP NNP IN NNP IN DT NNP NNP NNP NNP . NNP CD NNS VBP VBN VBN IN DT NNP IN CD IN DT JJ NN POS NN TO VB NNP NNS . CD NNS IN DT CD NNS VBD JJ VBN IN NNP . VBP DT NNS VBG IN IN NNP VBP JJ , RB JJ . DT NNS : VBP JJ IN NNP CC NNP WDT MD VB VBN : DT NN NN VBZ RB -NONE- IN DT WP -NONE- PRP MD VB PRP$ NNS , NNP NNP VBD . NNP PRP VBP IN NNP , IN PRP$ NN VBZ TO NN , IN PRP MD VB NNP POS NN TO VB NN NNS IN DT VBZ PRP$ NN , NNP PRP VBD . NNP PRP VBP RB VB DT NNP , NNP NNP RB DT CD NNS IN NNP . NNP NNP POS NNP CD NNP VBD NNP VBD VBN DT NNP NNP NNP NNP TO NNP . PRP VBD DT NN IN DT NN . NNP CC NNP POS NNP VBD PRP MD RB VB PRP . DT NN RB VBD IN NNP VBD VBN NNP TO NNP NNP IN NNP , DT NNP NNPS CC NNP ."
