,0
0,NNP NNP NNP NNP NN TO VB JJ NN .
1,NNP NNP NNP VBD DT NNP NNP VBD IN NNP PRP VBD IN JJ NN TO NNS TO VB NNS NN IN NNS NN IN NN NN NNS MD VB NN TO VB .
2,NNP POS NNP TO DT NNP NNP POS NNP NNP NNP NN VBD IN NNP NNP MD CD NN IN NNS JJ IN NNP IN DT JJ NN VBD -NONE- .
3,"VBD PRP VBP RB VB DT JJ NN IN PRP VBP RB VB DT NN IN PRP , VBD DT NN POS NN NN NNP NNP NNP NNP VBD DT NN NN ."
4,PRP VBD RB JJ NN VBD VBN CC IN PRP VBD VBN IN NN VBD VBN PRP MD VB VBN IN DT NNP NNP .
5,"PRP VBD DT NN JJ NN IN NNP NNP NNP VBD NN TO NN CD NN , NN CC NN NN IN DT NNP CC NNP NNP NNP VBD DT RB JJ CC NN NN TO VB JJ NN ."
6,RB VBD NN NNS IN NNS IN NNP CC VBD IN IN NN NNS VBD MD VB VB NN NN NN NN NN : NN NN NN .
7,"CC VBD VBD TO VB PRP$ NN IN DT NN POS NNP NNP NNP , NNP NNP NN NNS , NNS IN JJ NN VBD VBN IN EX VBD RB DT NN NN TO JJ NN ."
8,NNP NNP NNP NNP CD NN VBD JJR VBN NN IN DT CD NN NNS POS NN IN NNS JJ NN IN NNP NNP NN .
9,NN .
10,NNP NNP CC NNP NNP NNP POS NN .
11,DT NN POS JJ NN CC NN NNS VBP JJ TO VB DT NN JJ JJ NN CC VB NNS TO DT JJ NN NNS .
12,"NNP VBP RB VBN JJ TO NN NN , DT NN NN JJ TO NN WDT VBZ VBN TO VB VBN VBG TO NNS IN NNP NN NN NN ."
13,"JJ NNS VBD IN NNP EX VBD DT NN TO JJ NN IN PRP$ NN , CC VBD NN IN JJ NN NN TO NNS TO VB JJ NN MD NN NNS IN NNP ."
14,"VBD WP PRP VBP TO VB RB NN IN VBZ WRB JJ NNS VBP VBG TO VB NNP POS NN , NNP NNP NNP NNS POS NNP NNP NNP NNP NNP NNP NNP NNP VBD IN NNP NN ."
15,NNP VBZ VBN NNS TO VB JJ NN IN NN NN NNS IN NNP IN DT JJ NN NNP NNS MD VB DT NN JJ TO VB NN NN IN CD NN NN .
16,"NNP VBD NNP VBD IN NNP JJ NN , RB DT IN JJ NNS ."
17,"PRP VBD IN CD NN IN JJ NN , DT JJ NN IN JJ NNS ."
18,NN JJ RB NN NN NNS IN RB $ CD .
19,NNP VBD DT JJ JJ NN NN IN DT NN IN NNP NNP NNP NNP NN VBD VBN IN RB $ NN IN NNP IN DT NN IN DT IN DT JJ NN POS NN NNS .
20,"DT NNP NNP VBD NN NNS VBD $ NN NN IN DT NN IN NN VBP RB DT NN NN , WDT VBP VBP IN DT NN IN NNP NNP NN IN JJ NN ."
21,"IN DT NN IN DT NN IN NN IN DT JJ NN IN NNP PRP VBD DT NN IN NN IN DT NN , WRB PRP VBD VBN IN DT NN ."
22,"NNS RB VBD RB CD JJ NNS WDT VBD VBN RP IN NN IN NN POS JJ NN NNP NNP , WP VBP IN PRP IN CD TO CD ."
23,"PRP VBD DT JJ NN CC NN IN NN NN NN NN IN NN TO VB PRP$ NNS , WDT DT VBP NN NN VBD IN NN NNS NN $ CD NN ."
24,DT NN VBD IN DT NNS NN IN CD NN CD .
25,NNP NNP VBZ NNP NNP NN IN NNS .
26,NNP NNP NNP IN NNP NNP NNP IN NNP DT NN IN DT NN IN NNS IN DT NNP VBD IN DT NN TO NN IN NNP NN NN NN NN DT NN IN NNP NNP .
27,"VBD RB NNS IN NNP NNP NNP VBD DT NN VBD JJ TO CD IN JJ NNS IN NNP , NNP NNP NNP NNP NNP NNP NNP : VBD DT JJ NN IN DT NN IN DT NNS VBZ VBN VBN IN DT NNP NNS ."
28,"NNP NNP NNP NNP NNP POS JJ NN IN NNP , NNP NNP , IN VBG DT JJ NN IN NNP IN NNP IN PRP VBD NN IN DT CD TO VB JJ NNS ."
29,"VBD RB VBZ DT NN IN DT CD NNS TO CD IN JJ NNS : WDT VBZ TO VB DT NN IN NN , NNP NNP POS JJ NN IN DT NNS POS JJ NNP VBD IN CD ."
30,"DT NNP NNP POS NNP NNP NNP NN IN DT NN PRP VBD JJ NNS IN NN POS NNS CC VBD DT NNS IN WRB DT NN VBD VBN DT NN NN IN NNS IN NNP , WDT NNP VBZ DT NN NN ."
31,"NNP , WDT VBZ RB VBN DT NNP NNS TO VB JJR JJ NN , VBD VBN IN DT NN TO VB DT NN IN NNP NN NN NN ."
32,NNP NNP VBZ NNP NN IN NNP NNS .
